Nume_actiune, Timestamp
addBook,25-05-2021 18:47:23
sortBooks,25-05-2021 18:47:23
printReader,25-05-2021 18:47:23
removeBook,25-05-2021 18:47:23
printReader,25-05-2021 18:47:23
removeAllBooks,25-05-2021 18:47:23
printReader,25-05-2021 18:47:23
getReadersByAge,25-05-2021 18:47:23
sortReadersAlphabetically,25-05-2021 18:47:23
Table READERS dropped,25-05-2021 18:47:23
Table AUTHORS dropped,25-05-2021 18:47:23
Table SECTIONS dropped,25-05-2021 18:47:23
Table AUTHORS created,25-05-2021 18:47:23
Row inserted in AUTHORS ,25-05-2021 18:47:23
Author displayed,25-05-2021 18:47:23
Row updated in AUTHORS ,25-05-2021 18:47:23
Author displayed,25-05-2021 18:47:23
Inserted authors from CSV file,25-05-2021 18:47:23
Row deleted in AUTHORS ,25-05-2021 18:47:23
All authors displayed,25-05-2021 18:47:23
Table SECTIONS created,25-05-2021 18:47:23
Row inserted in SECTIONS ,25-05-2021 18:47:23
Section displayed,25-05-2021 18:47:23
Row inserted in SECTIONS ,25-05-2021 18:47:23
Section displayed,25-05-2021 18:47:23
Row updated in SECTIONS ,25-05-2021 18:47:23
Section displayed,25-05-2021 18:47:23
Row inserted in SECTIONS ,25-05-2021 18:47:23
Row inserted in SECTIONS ,25-05-2021 18:47:23
Row inserted in SECTIONS ,25-05-2021 18:47:23
Row deleted in SECTIONS ,25-05-2021 18:47:23
All sections displayed,25-05-2021 18:47:23
Table READERS created,25-05-2021 18:47:23
Row inserted in READERS ,25-05-2021 18:47:23
Reader displayed,25-05-2021 18:47:23
Row updated in READERS ,25-05-2021 18:47:23
Reader displayed,25-05-2021 18:47:23
Row inserted in READERS ,25-05-2021 18:47:23
Row deleted in READERS ,25-05-2021 18:47:23
All readers displayed,25-05-2021 18:47:23
changeSection,25-05-2021 18:51:56
displayBookAge,25-05-2021 18:51:56
calculateDaysAvailable,25-05-2021 18:51:56
getBooksByAuthor,25-05-2021 18:51:56
addBook,25-05-2021 18:51:56
sortBooks,25-05-2021 18:51:56
printReader,25-05-2021 18:51:56
removeBook,25-05-2021 18:51:56
printReader,25-05-2021 18:51:56
removeAllBooks,25-05-2021 18:51:56
printReader,25-05-2021 18:51:56
getReadersByAge,25-05-2021 18:51:56
sortReadersAlphabetically,25-05-2021 18:51:56
Table READERS dropped,25-05-2021 18:51:56
Table BOOKS dropped,25-05-2021 18:51:56
Table AUTHORS dropped,25-05-2021 18:51:56
Table SECTIONS dropped,25-05-2021 18:51:56
 ** AUTHORS **,25-05-2021 18:51:56
Row inserted in AUTHORS ,25-05-2021 18:51:56
Author displayed,25-05-2021 18:51:57
Row updated in AUTHORS ,25-05-2021 18:51:57
Author displayed,25-05-2021 18:51:57
Inserted authors from CSV file,25-05-2021 18:51:57
